Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
5+3,Dos Maderas,Aged,,40.0%,Barbados,6.2,113.0,,,,6.2261305268917
1888 Copenhagen Gold Medal,A. H. Riise,Aged,,40.0%,Denmark,7.4,113.0,,,,7.242231283609033
Especial,Pampero,Aged,,40.0%,Venezuela,5.4,111.0,,,,5.550992913470057
Rare Casks 12-Year,Appleton Estate,Aged,,,Jamaica,7.7,110.0,59.99,12.0,,7.491570966173476
XV,Brugal,Aged,,,Dominican Republic,6.2,108.0,,,,6.2271476641362415
Grande Reserva 16-Year,Zaya,Aged,,40.0%,Trinidad and Tobago,6.0,108.0,39.99,16.0,,6.058990591964411
Reserva Ocho Rare Gold 8-Year,Bacardi,Aged,,40.0%,Puerto Rico,6.2,108.0,,8.0,,6.2271476641362415
Isle Fiji,Plantation,Aged,,40.0%,Multiple,6.5,107.0,33.0,,,6.47922151082436
2002,Diplomatico,Aged,,,Venezuela,8.7,106.0,,,2002.0,8.323244952796744
Gold,Blue Mauritius,Gold,,40.0%,Mauritius,7.4,106.0,,,,7.233497638874956
100,Captain Morgan,Spiced,,,Puerto Rico,4.6,106.0,29.99,,,4.886349578120333
Reserve du Domaine 15-Year,Barbancourt,Aged,,,Haiti,7.5,106.0,,15.0,,7.317324355330478
Carta Negra,Bacardi,Dark,,40.0%,Puerto Rico,4.8,105.0,22.99,,,5.056027724566472
Gran Reserva Diez 10-Year,Bacardi,Aged,,40.0%,Puerto Rico,7.0,104.0,,10.0,,6.896554643895353
10-Year,Malteco,Aged,,,Guatemala,6.6,104.0,,10.0,,6.562287431612471
Aniversario Reserva 10-Year,Millonario,Aged,,40.0%,Peru,7.0,104.0,,10.0,,6.896554643895353
Dominicano Superior,Relicario,Gold,,,Dominican Republic,6.3,103.0,,,,6.311680881430908
Centenario 25-30-Year,Cubaney,Aged,,40.0%,Dominican Republic,9.2,103.0,,,,8.731257841872436
XO Perpetual,Dictador,Aged,,40.0%,Colombia,8.3,103.0,105.99,,,7.980354647252653
2004 Zinfandel Cask Blend 11-Year,Foursquare,Aged,Pot and Column Still,43.0%,Barbados,8.4,102.0,109.99,11.0,2004.0,8.061042659711351
Aged,Deadhead,Aged,,40.0%,Mexico,5.0,101.0,,,,5.2307817634950675
Imperial Premium Blend 30 Aniversario,Barcelo,Aged,,,Dominican Republic,7.7,100.0,,,,7.474266962191514
Pacto Navio,Havana Club,Aged,,40.0%,Cuba,6.6,100.0,,,,6.56103505631414
Gold,Cruzan,Gold,,40.0%,"Virgin Islands, U.S.",6.3,100.0,,,,6.311971809256675
XO 6-Year,Rhum JM,Agricole,Column Still (1-4),45.0%,Martinique,7.3,100.0,,6.0,,7.14218263278156
Cristal,Don Q,Light,,40.0%,Puerto Rico,6.1,99.0,22.99,,,6.146314149634789
25-Year,Opthimus,Aged,,38.0%,Dominican Republic,8.6,99.0,,25.0,,8.218287686421856
La Flibuste,La Favorite,Agricole,Column Still (1-4),40.0%,Martinique,9.4,98.0,,,,8.876940366807306
Cannon Blast,Captain Morgan,Spiced,,,Puerto Rico,4.4,97.0,,,,4.743117028687967
2005 Port Cask Finish 9-Year,Foursquare,Aged,Pot and Column Still,40.0%,Barbados,8.2,97.0,,9.0,2005.0,7.881438169566318
Original UP,Bundaberg,Gold,,,Australia,3.1,97.0,,,,3.669480848913795
12-Year,Centenario,Aged,,40.0%,Costa Rica,6.8,95.0,,12.0,,6.723919060027669
Light,10 Cane,Light,,40.0%,Trinidad and Tobago,6.2,95.0,,,,6.230204533432965
Special Gold,Appleton Estate,Gold,,40.0%,Jamaica,5.2,95.0,,,,5.407346989108459
Anejo Superior 11-Year,Santiago de Cuba,Aged,,,Cuba,7.9,94.0,,11.0,,7.626695084982275
Family Reserve Solera 1838,A. H. Riise,Aged,,40.0%,Denmark,7.5,94.0,,,,7.298171168670383
Shipwreck Spiced 4-Year,Brinley Gold,Spiced,,36.0%,Saint Kitts and Nevis,7.5,94.0,,4.0,,7.298171168670383
Spiced,Foursquare,Spiced,,37.5%,Barbados,6.6,94.0,,,,6.558992356968627
XV Napoleon Cognac Cask Finish,Abuelo,Aged,,40.0%,Panama,8.0,94.0,76.99,,,7.708826064060248
