Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
15-Year,Havana Club,Aged,,40.0%,Cuba,7.9,76.0,,15.0,,7.575690206773711
500 Gran Reserva,Cacique,Aged,,40.0%,Venezuela,6.6,76.0,,,,6.551339403349773
Gold,Six Saints,Aged,,40.0%,Grenada,6.3,75.0,,,,6.315107388649725
XO Reserve Christmas,A. H. Riise,Aged,,,Denmark,7.1,75.0,,,,6.943699974947669
Original 8-Year,Equiano,Aged,,43.0%,Mauritius,7.6,75.0,,8.0,,7.336570341383884
Anejo Oro 4-Year,Flor de CaÃ±a,Aged,,40.0%,Nicaragua,6.7,75.0,,4.0,,6.6294036817986965
2004,Diplomatico,Aged,,,Venezuela,8.9,74.0,,,2004.0,8.352295241607955
Centenario 23,Ron Zacapa,Aged,,,Guatemala,8.6,74.0,,,,8.117253560372792
Anejo Cuatro 4-Year,Bacardi,Aged,,40.0%,Puerto Rico,5.7,74.0,31.99,4.0,,5.8451839750995465
5-Year,Angostura,Gold,,40.0%,Trinidad and Tobago,5.7,74.0,,5.0,,5.8451839750995465
Single Blended 5-Year,Real McCoy,Aged,Pot and Column Still,40.0%,Barbados,6.7,73.0,32.99,5.0,,6.627892813707964
Trinidad Elixir Orange,Companero,Flavored,,40.0%,Multiple,5.8,72.0,,,,5.926203553105848
Gran Reserva,El Pasador de Oro,Aged,,40.0%,France,8.0,72.0,,,,7.639537429562098
Spanish Sherry Cask Finished 24-Year,Papas Pilar,Aged,,40.0%,United States,8.1,71.0,49.99,24.0,,7.713232773750537
Spiced,Bacardi,Spiced,,40.0%,Puerto Rico,5.0,71.0,,,,5.306488182537638
Batavia Arrack 8-Year,By The Dutch,Aged,,,Indonesia,4.6,71.0,,8.0,,4.9959404933488765
7-Year,Centenario,Aged,,40.0%,Costa Rica,6.1,71.0,,7.0,,6.16049432780673
Light,Cruzan,Light,,40.0%,"Virgin Islands, U.S.",5.7,71.0,,,,5.849946638617969
12-Year,Cockspur,Aged,Pot and Column Still,40.0%,Barbados,7.0,71.0,,12.0,,6.859226628481444
Extra Dry 4,Flor de CaÃ±a,Light,,40.0%,Nicaragua,6.4,71.0,,,,6.393405094698302
Cream,RumChata,Flavored,,,United States,6.6,71.0,34.3,,,6.548678939292682
1703 Master Select,Mount Gay,Aged,,,Barbados,8.3,71.0,,,,7.868506618344918
Single Estate,Lazy Dodo,Aged,,40.0%,Mauritius,6.3,71.0,,,,6.315768172401111
10-Year,English Harbour,Aged,Column Still (1-4),40.0%,Antigua and Barbuda,7.5,71.0,,10.0,,7.247411239967395
Pure Single Jamaican Overproof,Hampden Estate,Light,,,Jamaica,8.2,70.0,,,,7.786346486799515
1985 Solera,Oliver's Exquisito,Aged,,40.0%,Dominican Republic,8.3,70.0,,,1985.0,7.863736170310171
Signature,Appleton Estate,Gold,,40.0%,Jamaica,6.2,69.0,32.49,,,6.238983808674314
Gran Reserva 18-Year,Matusalem,Aged,,40.0%,Dominican Republic,7.4,69.0,,18.0,,7.1646268106238855
15-Year,Ron Barco De Cargas,Aged,,40.0%,Guatemala,6.7,69.0,,15.0,,6.624668392819968
Cask 1623,Pyrat,Aged,,40.0%,Anguilla,8.5,69.0,,,,8.013132895744324
Dark Chocolate,Deadhead,Flavored,,,Mexico,6.2,69.0,,,,6.238983808674314
8-Year,Doorly's,Aged,Pot and Column Still,40.0%,Barbados,7.4,69.0,,8.0,,7.1646268106238855
5 Star Fine,Cockspur,Gold,,37.5%,Barbados,5.9,68.0,,,,6.008789241765762
2005 12-Year,Foursquare,Aged,Pot and Column Still,59.0%,Barbados,8.6,68.0,,12.0,2005.0,8.084506980373318
151,Gosling's,Light,,,Bermuda,6.6,68.0,35.0,,,6.546938285108461
Two Oaks,Abuelo,Aged,,40.0%,Panama,8.0,68.0,,,,7.623236371793862
1787 15-Year,Angostura,Aged,,40.0%,Trinidad and Tobago,7.3,68.0,,15.0,,7.085087328451161
Mantuano,Botucal,Aged,,40.0%,Venezuela,6.7,68.0,,,,6.623816719871705
Premium Spiced,Blackheart,Spiced,,,"Virgin Islands, U.S.",5.5,68.0,,,,5.70127550271279
Blonde 3-Year,Papas Pilar,Light,,,United States,6.5,68.0,,3.0,,6.470059850345219
Etiqueta Negra,Ron Zacapa,Aged,,,Guatemala,7.7,67.0,,,,7.3890859817587895
Spiced,Ron de Jeremy,Spiced,,,Panama,6.2,67.0,,,,6.239875363040217
Anjeo Especial,Pampero,Gold,,40.0%,Venezuela,5.0,67.0,,,,5.32050686806536
15-Year,Quorhum,Aged,,40.0%,Dominican Republic,7.7,67.0,,15.0,,7.3890859817587895
Añejo Especial,Havana Club,Gold,,40.0%,Cuba,6.2,67.0,,,,6.239875363040217
12-Year,Malecon,Aged,,40.0%,Panama,6.0,66.0,,12.0,,6.087649547114255
Blanc 50,Neisson,Agricole,Column Still (1-4),50.0%,Martinique,7.6,66.0,,,,7.309146045455573
Spiced,Kilo Kai,Spiced,,,CuraÃ§ao,6.1,65.0,,,,6.164741961588007
HMS Royal Oak,Admiral Rodney,Aged,,40.0%,Saint Lucia,8.1,65.0,,,,7.686075755972673
2003 Trinidad,Plantation,Aged,,,Multiple,6.9,65.0,,,2003.0,6.773275479341873
Canne Bleue,Clement,Agricole,Column Still (1-4),50.0%,Martinique,7.2,64.0,,,,6.9991247927982645
7-Year,Ryoma,Aged,,40.0%,Japan,5.7,64.0,,7.0,,5.862375411954018
2010 Detente 10-Year,Foursquare,Aged,Pot and Column Still,51.0%,Barbados,8.4,64.0,,10.0,2010.0,7.908524297473663
Ritual Cubano,Havana Club,Gold,,40.0%,Cuba,6.4,64.0,,,,6.392858456348
XO Reserve Anniversary 175-Year,A. H. Riise,Aged,,,Denmark,7.6,64.0,,175.0,,7.302257961023398
12-Year,Parce,Aged,,40.0%,Colombia,8.0,63.0,,12.0,,7.600662518468543
Anejo 12-Year,Botran,Aged,,40.0%,Guatemala,6.2,63.0,,12.0,,6.241786674067452
Black Spiced,Peaky Blinders,Spiced,,40.0%,United Kingdom,6.2,63.0,,,,6.241786674067452
Spiced,Old J,Spiced,,,United Kingdom,6.8,63.0,,,,6.694745288867815
Jamaican Pot Still Black,Hamilton,Dark,,40.0%,Multiple,7.5,63.0,,,,7.223197006134907
Dark,Koloa,Dark,,,United States,7.0,63.0,,,,6.84573149380127
Gran Reserva 15-Year,El Ron Prohibido,Aged,,,Mexico,6.1,63.0,,15.0,,6.166293571600724
20-Year,Malteco,Aged,,,Guatemala,7.6,62.0,,20.0,,7.295035711734535
Screech,Newfoundland,Gold,,40.0%,Canada,5.8,62.0,,,,5.9415099828730975
Light Cachaca,Leblon,Cachaca,,,Brazil,5.9,62.0,,,,6.016705856698733
Royal,Ron Zacapa,Aged,,,Guatemala,8.5,62.0,,,,7.971798576165254
XO 6-Year,Clement,Agricole,Column Still (1-4),44.0%,Martinique,8.0,61.0,,6.0,,7.590856970321538
2014 Reserva Limitada,Ron Zacapa,Aged,,,Guatemala,7.9,61.0,,,2014.0,7.51596562344954
20 Art Edition,Mocambo,Aged,,,Mexico,6.2,61.0,,,,6.242812726625553
Joy 25-Year,Appleton Estate,Aged,Pot and Column Still,45.0%,Jamaica,9.2,61.0,,25.0,,8.489553132785527
XO Elixir,Santos Dumont,Flavored,,40.0%,Brazil,6.8,60.0,,,,6.690820380188922
Coconut,Blue Chair Bay,Flavored,,40.0%,Barbados,7.1,60.0,27.5,,,6.91455812855237
Panama 21-Year,Rum Nation,Aged,,40.0%,Italy,8.4,60.0,,21.0,,7.884088371460644
Blanc 50,Trois Rivieres,Agricole,Column Still (1-4),50.0%,Martinique,6.0,60.0,,,,6.094186384553061
Ron Solera 1873,Bacardi,Gold,,,Puerto Rico,5.7,59.0,,,,5.872593957491293
Distillery Collection No1 Batch Kettle,Diplomatico,Aged,,,Venezuela,7.3,59.0,81.99,,,7.060742689014704
3 Star 4-Year,Barbancourt,Gold,,40.0%,Haiti,5.0,59.0,,4.0,,5.352778887449801
10-Year,Dictador,Aged,,,Colombia,6.5,59.0,,10.0,,6.466668323252999
2001 Barbados,Plantation,Aged,,,Multiple,8.1,59.0,,,2001.0,7.6548170547764105
White Overproof,Rum Fire,Light,Pot and Column Still,,Jamaica,7.6,59.0,,,,7.283520576175344
Blanc 40,Clement,Agricole,Column Still (1-4),40.0%,Martinique,6.2,58.0,,,,6.244449896775303
12-Year,Caroni,Aged,,,Trinidad and Tobago,7.6,58.0,,12.0,,7.279486490156738
Blanco,Diplomatico,Light,,40.0%,Venezuela,6.6,58.0,,,,6.540174637741427
Gran Reserva,Companero,Aged,,40.0%,Multiple,5.2,57.0,,,,5.509077783474491
8-Year,Coloma,Aged,,40.0%,Colombia,6.7,57.0,,8.0,,6.612996814600829
Special,SangSom,Gold,,40.0%,Thailand,4.5,57.0,,,,4.993915568948867
2007 12-Year,Foursquare,Aged,Pot and Column Still,59.0%,Barbados,8.5,57.0,,12.0,2007.0,7.937699651952435
15-Year,Caroni,Aged,,40.0%,Trinidad and Tobago,8.2,57.0,,15.0,,7.716915845727168
10-Year,Clement,Agricole,Column Still (1-4),44.0%,Martinique,7.0,56.0,,10.0,,6.831606435320022
2001 Jamaica,Plantation,Aged,,,Multiple,7.0,56.0,,,2001.0,6.831606435320022
Blanc 50,Rhum JM,Agricole,Column Still (1-4),50.0%,Martinique,6.8,56.0,,,,6.6851080078258
Reserva,Atlantico,Gold,,40.0%,Dominican Republic,6.1,56.0,,,,6.172363511596024
Exquisito 21-Year,Cubaney,Aged,,40.0%,Dominican Republic,7.9,56.0,,21.0,,7.490849359044018
Reserva Especial 8-Year,Cihuatan,Aged,,40.0%,El Salvador,7.0,56.0,,8.0,,6.831606435320022
2015 5-Year,Heffron,Flavored,,40.0%,Czechia,5.3,55.0,,5.0,2015.0,5.590165225661362
Seleccion,Dos Maderas,Aged,,40.0%,Barbados,7.8,55.0,68.99,,,7.412531979610175
Merchants Reserve 8-Year,Denizen,Aged,,,Trinidad,7.6,55.0,,8.0,,7.26674263929427
Special Reserve,Wild Tiger,Aged,,40.0%,India,4.1,55.0,,,,4.715429183765931
Peruano 8-Year,Rum Nation,Aged,,42.0%,Italy,6.9,55.0,,8.0,,6.756479948188603
Blanc 59,Pere Labat,Agricole,Column Still (1-4),59.0%,Guadeloupe,7.7,55.0,,,,7.339637309452223
Centenario XO Solera Gran Reserva Especial,Ron Zacapa,Aged,,40.0%,Guatemala,8.1,54.0,,,,7.624919474040711
Creole Shrubb Liqueur Dâ€™Orange,Clement,Flavored,,40.0%,Martinique,7.4,54.0,,,,7.117205257251999
Aniversario,Bermudez,Aged,,40.0%,Dominican Republic,6.7,54.0,,,,6.6094910404632845
Sajous,Clairin,Light,,,Haiti,7.9,54.0,,,,7.479858269243937
2009 12-Year,Foursquare,Aged,Pot and Column Still,60.0%,Barbados,8.6,54.0,,12.0,2009.0,7.987572486032649
Pot Still,Doctor Bird,Aged,,,United States,6.8,53.0,,,,6.680415431605524
Original 1804,Lemon Hart,Gold,,40.0%,Guyana,5.8,53.0,,,,5.958849216913584
12-Year,Cartavio,Aged,,40.0%,Peru,6.9,53.0,,12.0,,6.752572053074719
2009 Fiji,Plantation,Aged,,,Multiple,7.0,53.0,60.99,,2009.0,6.824728674543912
15-Year,Ron Esclavo,Aged,,40.0%,Dominican Republic,7.4,52.0,,15.0,,7.109398782677895
Spiced,Lamb's,Spiced,,,Canada,5.0,52.0,,,,5.386863177204929
18-Year,Opthimus,Aged,,40.0%,Dominican Republic,7.3,52.0,,18.0,,7.0376264657831875
Reserva Superior 15-Year,Malecon,Aged,,40.0%,Panama,7.2,52.0,,15.0,,6.965854148888481
Spiced,Dark Matter,Spiced,,40.0%,United Kingdom,6.0,52.0,,,,6.104586346151998
Gold,Rum-Bar,Gold,,40.0%,Jamaica,5.1,52.0,35.99,,,5.458635494099634
Select,Bayou,Aged,,40.0%,United States,6.4,51.0,,,,6.391559109447829
White,Probitas,Light,,,Jamaica,7.2,51.0,,,,6.962577151207406
Reserva Especial 12-Year,Cihuatan,Aged,,40.0%,El Salvador,7.0,51.0,,12.0,,6.819822640767513
2004 Peru,Plantation,Aged,,,Multiple,7.7,51.0,,,2004.0,7.319463427307142
12-Year,Bacoo,Aged,,40.0%,Dominican Republic,7.4,51.0,,12.0,,7.105331661647302
Supreme,Old Monk,Aged,,,India,6.0,51.0,,,,6.10605008856804
Spiced,Chic Choc,Spiced,,,Canada,6.5,51.0,,,,6.462936364667776
AÃ±ejo Reserva,Brugal,Gold,,40.0%,Dominican Republic,5.6,50.0,,,,5.823671470757601
Anejo Seleccion 1938,Pampero,Aged,,40.0%,Venezuela,5.9,50.0,,,,6.03658440589687
VSOP Reserve Speciale 4-Year,HSE,Agricole,Column Still (1-4),45.0%,Martinique,7.1,50.0,,4.0,,6.888236146453947
Single Estate Old Georgia,Richland,Gold,,40.0%,United States,6.9,50.0,,,,6.746294189694434
The Adult,Ron de Jeremy,Aged,,40.0%,Panama,6.1,50.0,,,,6.178526362656383
1990 Solera,Oliver's Exquisito,Aged,,,Dominican Republic,8.2,50.0,,,1990.0,7.668916908631266
Premium Spiced,Admiral Nelson's,Spiced,,,United States,5.1,50.0,21.0,,,5.468816578858818
Vieux 3-Year,Clement,Agricole,Column Still (1-4),40.0%,Martinique,5.7,50.0,,3.0,,5.894642449137358
Select,Bacardi,Dark,,,Puerto Rico,4.9,49.0,,,,5.333021007004526
White Overproof,Rum-Bar,Light,Pot Still,63.0%,Jamaica,6.2,49.0,39.99,,,6.250210032056038
21-Year,Opthimus,Aged,,40.0%,Dominican Republic,8.0,49.0,,21.0,,7.5201640667427485
Spiced,Kirkland,Spiced,,,United States,4.8,49.0,,,,5.262468005077485
9 Spiced,Cruzan,Spiced,,,"Virgin Islands, U.S.",5.9,49.0,,,,6.038551026274921
Golden,Pirate's Grog,Gold,,,Honduras,7.0,49.0,,,,6.814634047472354
Anejo Reserva Especial 18-Year,Arehucas,Aged,,40.0%,Spain,7.6,49.0,,18.0,,7.2379520590345905
Cuvee Noire Prestige,Dzama,Aged,,,Madagascar,6.9,49.0,,,,6.744081045545315
Solera 18-Year,Austrian Empire,Aged,,40.0%,United Kingdom,6.9,49.0,,18.0,,6.744081045545315
Solera 5-Year,Gold of Mauritius,Gold,,40.0%,Mauritius,7.4,48.0,,5.0,,7.092417303635755
9-Year,Centenario,Aged,,,Costa Rica,6.4,48.0,,9.0,,6.391189172578683
Gold,Don Q,Gold,,40.0%,Puerto Rico,5.3,48.0,22.99,,,5.619838228415901
Black Sheriff 3-Year,HSE,Agricole,Column Still (1-4),40.0%,Martinique,6.7,48.0,,3.0,,6.601557611895804
Black Spiced,Jonah's Curse,Spiced,,40.0%,United States,5.9,48.0,,,,6.040575107050146
Royal Gold 10-Year,XM,Aged,,,Guyana,6.3,48.0,,10.0,,6.321066359472974
Original,Pink Pigeon,Spiced,,40.0%,Mauritius,6.0,48.0,,,,6.110697920155853
XO Reserve Sauternes Cask,A. H. Riise,Aged,,40.0%,Denmark,6.5,48.0,,,,6.461311985684389
Reserve Legacy 5-8 Years,Chairman's,Aged,Pot and Column Still,43.0%,Saint Lucia,7.3,48.0,,,,7.022294490530047
Straight from the Cask Special Edition,Ron Zacapa,Aged,,,Guatemala,9.3,48.0,,,,8.424750752644194
Reserve,Kaniche,Aged,,40.0%,Barbados,6.4,47.0,,,,6.391058547621593
Premum,Rammstein,Aged,,40.0%,Guyana,7.1,47.0,,,,6.878817628887
1995 Solera,Oliver's Exquisito,Aged,,40.0%,Dominican Republic,7.7,47.0,,,1995.0,7.296896841400207
Distillery Collection No2 Barbet,Diplomatico,Aged,,,Venezuela,7.2,47.0,93.99,,,6.9484974976392015
Jamaica Navy Strength 5-Year,Compagnie des Indes,Gold,,,France,6.8,47.0,,5.0,,6.669778022630396
Tatoo,Captain Morgan,Dark,,,Puerto Rico,4.8,47.0,,,,5.276180647586376
86 Demerara,Hamilton,Aged,,,Multiple,7.3,46.0,,,,7.013936328285046
Royal Danish Navy Frogman,A. H. Riise,Aged,,40.0%,Denmark,7.0,46.0,,,,6.806265549262422
Guyana 151,Hamilton,Light,,,Multiple,7.8,46.0,,,,7.360054293322755
Anejo Classico (PR),Havana Club,Aged,,40.0%,Cuba,5.5,46.0,,,,5.767911654149296
Dominicano Supremo,Relicario,Aged,,40.0%,Dominican Republic,7.4,46.0,,,,7.083159921292589
12-Year,Quorhum,Aged,,40.0%,Dominican Republic,6.9,46.0,,12.0,,6.73704195625488
Carta Fuego,Bacardi,Spiced,,40.0%,Puerto Rico,6.4,45.0,,,,6.390785323165236
Gran Reserva,Santa Teresa,Gold,,40.0%,Venezuela,6.3,45.0,,,,6.322031948345595
Blanc 59,Bielle,Agricole,Column Still (1-4),59.0%,Guadeloupe,7.5,45.0,,,,7.1470724461812845
Anejo,Cubay,Gold,,,Cuba,6.2,45.0,,,,6.253278573525954
007 Limited Edition,Blackwell,Aged,,40.0%,Jamaica,7.9,45.0,,,,7.422085945459847
15-Year,Autentico Nativo,Aged,,40.0%,Panama,7.7,45.0,,15.0,,7.284579195820566
HMS Princessa 5-Year,Admiral Rodney,Aged,Column Still (1-4),40.0%,Saint Lucia,6.9,45.0,,5.0,,6.734552197263439
XO Grande Reserve 8-Year,HSE,Agricole,Column Still (1-4),43.0%,Martinique,7.8,45.0,,8.0,,7.353332570640207
Cuvee Homere 6-Year,Clement,Agricole,Column Still (1-4),44.0%,Martinique,7.2,45.0,,6.0,,6.940812321722362
White,Veritas,Light,Pot and Column Still,47.0%,Barbados,7.8,45.0,,,,7.353332570640207
White Single Blended 3-Year,Real McCoy,Light,Pot and Column Still,40.0%,Barbados,6.0,44.0,,3.0,,6.117568091229592
Don Pancho Reserva 8-Year,Origenes,Aged,,40.0%,Panama,7.1,44.0,,8.0,,6.8685223085736045
Exquisito,Facundo,Aged,,40.0%,Puerto Rico,8.5,44.0,,,,7.824282221556894
7-Year,Matusalem,Aged,,40.0%,Dominican Republic,5.9,44.0,,7.0,,6.0492995260165
Cuvee de l'Ocean,Trois Rivieres,Agricole,Column Still (1-4),42.0%,Martinique,6.6,44.0,,,,6.527179482508144
Gold,The Scarlet Ibis,Gold,,,Trinidad and Tobago,7.3,44.0,,,,7.005059438999788
8-Year,Parce,Aged,,40.0%,Colombia,6.9,44.0,,8.0,,6.731985178147421
Anejo 7-Year,Mulata,Aged,Pot and Column Still,40.0%,Cuba,6.0,44.0,,7.0,,6.117568091229592
Eclipse Black,Mount Gay,Gold,,40.0%,Barbados,6.7,44.0,,,,6.595448047721236
2002 Jamaica,Plantation,Aged,,,Multiple,7.1,43.0,,,2002.0,6.864874194624154
Gran Reserva 25-Year,Cubaney,Aged,,40.0%,Dominican Republic,7.8,43.0,,25.0,,7.339253514729708
XXX,Khukri,Aged,,,Nepal,4.8,43.0,,,,5.306199285705904
Anejo 15-Year,Mulata,Aged,,40.0%,Cuba,7.0,43.0,,15.0,,6.797105720323361
XO Batch 001,Penny Blue,Aged,,,Mauritius,7.7,43.0,,,,7.2714850404289155
Black Label,Kraken,Spiced,,,Trinidad and Tobago,4.1,43.0,28.25,,,4.831819965600349
Limitada,Bacardi,Aged,Pot Still,40.0%,Puerto Rico,7.9,42.0,,,,7.399128194122454
Centennial Celebration,A. H. Riise,Aged,,,Denmark,8.4,42.0,,,,7.735390034164758
Platino,Atlantico,Light,,40.0%,Dominican Republic,5.7,42.0,,,,5.919576097936316
St Andre 8-Year,Takamaka,Aged,,40.0%,Seychelles,6.0,42.0,,8.0,,6.121333201961699
Agricole N°4,Toucan,Agricole,Column Still (1-4),40.0%,Guyana,5.6,42.0,,,,5.852323729927855
Amber,Old New Orleans,Gold,,40.0%,United States,5.0,42.0,,,,5.448809521877091
Platino,Matusalem,Light,,40.0%,Dominican Republic,6.0,42.0,,,,6.121333201961699
Spiced,Marama,Light,,40.0%,Fiji,6.7,42.0,,,,6.592099778020924
Gold,Gosling's,Gold,,40.0%,Bermuda,5.3,42.0,,,,5.6505666259024725
XO Reserve Port Cask,A. H. Riise,Aged,,40.0%,Denmark,6.7,42.0,,,,6.592099778020924
Reserva Imperial 18-Year,Malecon,Aged,,40.0%,Panama,7.0,42.0,,18.0,,6.793856882046307
Blackpool Spiced,Lemon Hart,Spiced,,,Guyana,7.3,41.0,,,,6.990660700256007
2010 Indelible 11-Year,Foursquare,Aged,Pot and Column Still,48.0%,Barbados,8.6,41.0,,11.0,2010.0,7.85801373848728
Spiced,Remedy,Spiced,,40.0%,Barbados,6.0,41.0,,,,6.123307662024735
Gran Reserva 12-Year,Medellin,Aged,Pot Still,40.0%,Colombia,6.6,41.0,,12.0,,6.523624448900706
Coconut,Bacardi,Flavored,,,Puerto Rico,5.2,41.0,,,,5.589551946190105
Dark,El Dorado,Dark,,40.0%,Guyana,6.0,41.0,,,,6.123307662024735
8-Year,Pixan,Aged,,40.0%,Mexico,5.5,41.0,,8.0,,5.789710339628091
Premium Dark,MotÃ¶rhead,Dark,,40.0%,Dominican Republic,6.7,41.0,,,,6.590343913380035
Mojito,Bacardi,Flavored,,,Puerto Rico,2.1,41.0,,,,3.5212485473309147
Real,Centenario,Aged,,,Costa Rica,9.4,41.0,,,,8.39176945432191
2005 Nobiliary 14-Year,Foursquare,Aged,Pot and Column Still,62.0%,Barbados,8.7,41.0,,14.0,2005.0,7.924733202966609
109,Worthy Park,Dark,Pot Still,54.5%,Jamaica,6.7,40.0,,,,6.5885299568967834
Ambar 12,Ron Zacapa,Aged,,40.0%,Guatemala,6.4,40.0,,,,6.390023166530765
Family Reserve 43 12-Year,Rum SixtySix,Aged,Pot and Column Still,43.0%,Barbados,7.3,40.0,,12.0,,6.98554353762882
Reserve 1931 6-12 Years,Chairman's,Aged,Pot and Column Still,46.0%,Saint Lucia,8.3,40.0,,,,7.647232838848882
12-Year,Summum,Aged,,40.0%,Trinidad and Tobago,7.1,40.0,,12.0,,6.853205677384808
Old Tradition 8-Year,New Grove,Aged,,40.0%,Mauritius,6.0,40.0,,8.0,,6.12534744604274
Toasted Coconut,Siesta Key,Flavored,,,United States,7.6,40.0,,,,7.184050327994839
Masskara,Don Papa,Spiced,,40.0%,Philippines,6.6,40.0,,,,6.522361026774777
Delicatissime,Arcane,Gold,,,Mauritius,6.7,40.0,,,,6.5885299568967834
5-Island,Banks,Light,,,United Kingdom,6.6,40.0,,,,6.522361026774777
XO Extra Premium,Maximo,Aged,,40.0%,Dominican Republic,7.5,40.0,,,,7.117881397872833
Jamaica,Captain Morgan,Dark,,40.0%,Puerto Rico,3.7,39.0,,,,4.618658719388902
2006 Redoutable 14-Year,Foursquare,Aged,Pot and Column Still,61.0%,Barbados,9.2,39.0,,14.0,2006.0,8.226651858659755
XO 6-Year,Domaine de Severin,Agricole,Column Still (1-4),45.0%,Guadeloupe,5.3,39.0,,6.0,,5.668256723540423
Anejo,Santa Teresa,Light,,40.0%,Venezuela,5.4,39.0,,,,5.733856598799894
Black label 5,Flor de CaÃ±a,Gold,,40.0%,Nicaragua,5.9,39.0,,,,6.061855975097244
2005 Shibboleth 16-Year,Foursquare,Aged,Pot and Column Still,56.0%,Barbados,9.3,39.0,,16.0,2005.0,8.292251733919226
Añejo 7-Year,Varadero,Aged,,40.0%,Cuba,6.8,39.0,,7.0,,6.652254852432473
Rum Project One,Old Man Spirits,Gold,,40.0%,Multiple,6.6,39.0,,,,6.521055101913534
3-Year,William Hinton,Agricole,Column Still (1-4),40.0%,Portugal,5.3,39.0,,3.0,,5.668256723540423
Oaxaca Aguardiente de CaÃ±a,Paranubes,Light,,54.0%,Mexico,7.0,39.0,,,,6.783454602951415
Gold Eleve Sous Bois 1-Year,Rhum JM,Agricole,Column Still (1-4),50.0%,Martinique,6.1,39.0,,1.0,,6.193055725616184
Trinidad Original Dark Overproof,Plantation,Light,,73.0%,Multiple,6.6,39.0,,,,6.521055101913534
12-Year,Arehucas,Aged,,40.0%,Spain,5.7,39.0,,12.0,,5.930656224578303
5-Year,Cayman Reef,Gold,,40.0%,Multiple,6.4,38.0,,5.0,,6.389681794211875
XX,Centenario,Aged,,,Costa Rica,9.0,38.0,,,,8.079976876829061
Silver Spiced,Captain Morgan,Light,,,Puerto Rico,5.0,38.0,23.99,,,5.479522903571853
7-Year,Canuto,Aged,,40.0%,Ecuador,5.7,38.0,,7.0,,5.934602348891864
23-Year,Villa Rica,Aged,,40.0%,Mexico,5.4,38.0,,23.0,,5.739568300897574
Spiced,Siesta Key,Spiced,,,United States,7.6,38.0,,,,7.169817986189037
Great House Distillery 2020 Edition,Hampden Estate,Aged,Pot Still,59.0%,Jamaica,8.8,38.0,,,,7.9499541781662
7-Year,J. Bally,Agricole,Column Still (1-4),45.0%,Martinique,6.4,38.0,,7.0,,6.389681794211875
VSOP Réserve Spéciale 5-Year,Trois Rivieres,Agricole,Column Still (1-4),42.0%,Martinique,6.4,38.0,,5.0,,6.389681794211875
Original,Coruba,Spiced,,40.0%,Jamaica,5.7,38.0,,,,5.934602348891864
7 Golden Age,Banks,Gold,,,United Kingdom,6.8,38.0,,,,6.649727191537596
Royal Navy,Black Tot,Aged,,54.0%,United Kingdom,8.2,38.0,,,,7.559886082177618
Blanco,Pampero,Light,,,Venezuela,5.1,37.0,,,,5.552271832400373
Reserve Original 4-6 Years,Chairman's,Aged,Pot and Column Still,40.0%,Saint Lucia,6.0,37.0,,,,6.131892852761202
Blanc 40,HSE,Agricole,,40.0%,Martinique,6.6,37.0,,,,6.518306866335085
Cacao,Selvarey,Flavored,,,Panama,8.2,37.0,37.99,,,7.5487442358654455
Ultra Anejo,Roble,Aged,,40.0%,Venezuela,7.7,37.0,,,,7.226732557887209
2004 Empery 14-Year,Foursquare,Aged,Pot and Column Still,56.0%,Barbados,8.9,37.0,,14.0,2004.0,7.999560585034978
Cafe 100,Dictador,Flavored,,,Colombia,6.8,37.0,,,,6.6471115375263805
15-Year,Appleton Estate,Aged,,,Jamaica,7.1,37.0,,15.0,,6.840318544313322
1981 25-Year,English Harbour,Aged,Column Still (1-4),40.0%,Antigua and Barbuda,8.9,37.0,,25.0,1981.0,7.999560585034978
Cask Collection Number 1 Bourbon Cask,Angostura,Aged,,40.0%,Trinidad and Tobago,8.0,37.0,,,,7.419939564674151
Panama Limited Edition 10-Year,Rum Nation,Aged,,,Italy,7.1,37.0,,10.0,,6.840318544313322
Nikté Limited Edition,Cihuatan,Aged,,,El Salvador,8.0,37.0,,,,7.419939564674151
Spiced,Black Tears,Spiced,,40.0%,Cuba,5.8,36.0,,,,6.006685761509247
Extra Anejo 20-Year,Santiago de Cuba,Aged,,40.0%,Cuba,8.7,36.0,,20.0,,7.856066374225415
Overproof,Pusser's,Light,,75.0%,"Virgin Islands, British",7.2,36.0,,,,6.899490195234294
2005 Guyana,Plantation,Aged,,,Multiple,7.2,36.0,,,2005.0,6.899490195234294
Barbados Anniversary 12-Year,Rum Nation,Aged,,40.0%,Italy,8.2,36.0,,12.0,,7.537207647895042
Republica Reserva,Bozkov,Aged,,40.0%,Czechia,6.3,36.0,,,,6.325544487839621
Vanilla,Dzama,Flavored,Pot and Column Still,40.0%,Madagascar,6.6,36.0,,,,6.516859723637845
Nina 12-Year,Ron Cristobal,Aged,,40.0%,Dominican Republic,7.2,36.0,,12.0,,6.899490195234294
Imperial Blanc 40,Saint James,Agricole,Column Still (1-4),40.0%,Martinique,5.4,36.0,,,,5.751598780444947
Premium Dark,Flying Dutchman,Dark,,40.0%,Netherlands,5.8,36.0,,,,6.006685761509247
White,Blue Chair Bay,Light,,40.0%,Barbados,5.4,36.0,27.5,,,5.751598780444947
Reserva Imperial 25-Year,Malecon,Aged,,40.0%,Panama,7.8,36.0,,25.0,,7.2821206668307426
